sku,order_date,product_title,units_sold,revenue,num_orders,avg_price,day_of_week,day_of_month,week_of_year,month,quarter,year,is_weekend,is_friday,is_month_end,is_holiday_season,is_eid_fitr_window,is_eid_adha_window,is_eid_season,is_peak_season,lag_1d,lag_3d,lag_7d,lag_14d,lag_21d,lag_30d,rolling_mean_7d,rolling_std_7d,rolling_mean_14d,rolling_std_14d,rolling_mean_30d,rolling_std_30d,rolling_mean_60d,rolling_std_60d,rolling_mean_90d,rolling_std_90d,sku_mean_demand,sku_std_demand,sku_demand_cv,trend_7_vs_30,cumulative_units,sku_x_eid,sku_x_holiday,sku_x_peak,sku_x_weekend,demand_x_lag,product_type,price,current_stock,product_type_code,price_tier
CVB-002,2022-01-08,Ceramic Vase Bundle,3,135.0,1,45.0,5,8,1,1,1,2022,1,0,0,0,0,0,0,0,2.0,0.0,0.0,,,,1.4285714285714286,1.3972762620115438,1.4285714285714286,1.3972762620115438,1.4285714285714286,1.3972762620115438,1.4285714285714286,1.3972762620115438,1.4285714285714286,1.3972762620115438,11.57338195077484,12.154057579693836,1.0501724672756911,0.9999930000489996,13,0.0,0.0,0.0,11.57338195077484,2.857142857142857,Decor,45.0,139,1,1.0
CVB-002,2022-01-09,Ceramic Vase Bundle,3,135.0,1,45.0,6,9,1,1,1,2022,1,0,0,0,0,0,0,0,3.0,4.0,2.0,,,,1.8571428571428572,1.3451854182690985,1.625,1.407885953173359,1.625,1.407885953173359,1.625,1.407885953173359,1.625,1.407885953173359,11.57338195077484,12.154057579693836,1.0501724672756911,1.1428501099333894,16,0.0,0.0,0.0,11.57338195077484,5.571428571428571,Decor,45.0,139,1,1.0
CVB-002,2022-01-10,Ceramic Vase Bundle,1,45.0,1,45.0,0,10,2,1,1,2022,0,0,0,0,0,0,0,0,3.0,2.0,1.0,,,,2.0,1.414213562373095,1.7777777777777777,1.3944333775567925,1.7777777777777777,1.3944333775567925,1.7777777777777777,1.3944333775567925,1.7777777777777777,1.3944333775567925,11.57338195077484,12.154057579693836,1.0501724672756911,1.1249936719105955,17,0.0,0.0,0.0,0.0,6.0,Decor,45.0,139,1,1.0
CVB-002,2022-01-11,Ceramic Vase Bundle,2,90.0,1,45.0,1,11,2,1,1,2022,0,0,0,0,0,0,0,0,1.0,3.0,1.0,,,,2.0,1.414213562373095,1.7,1.3374935098492586,1.7,1.3374935098492586,1.7,1.3374935098492586,1.7,1.3374935098492586,11.57338195077484,12.154057579693836,1.0501724672756911,1.1764636678607774,19,0.0,0.0,0.0,0.0,2.0,Decor,45.0,139,1,1.0
CVB-002,2022-01-12,Ceramic Vase Bundle,1,45.0,1,45.0,2,12,2,1,1,2022,0,0,0,0,0,0,0,0,2.0,3.0,0.0,,,,2.142857142857143,1.3451854182690985,1.7272727272727273,1.2720777563426766,1.7272727272727273,1.2720777563426766,1.7272727272727273,1.2720777563426766,1.7272727272727273,1.2720777563426766,11.57338195077484,12.154057579693836,1.0501724672756911,1.240594321371222,20,0.0,0.0,0.0,0.0,4.285714285714286,Decor,45.0,139,1,1.0
CVB-002,2022-01-13,Ceramic Vase Bundle,0,0.0,0,0.0,3,13,2,1,1,2022,0,0,0,0,0,0,0,0,1.0,1.0,4.0,,,,2.2857142857142856,1.1126972805283735,1.6666666666666667,1.2309149097933274,1.6666666666666667,1.2309149097933274,1.6666666666666667,1.2309149097933274,1.6666666666666667,1.2309149097933274,11.57338195077484,12.154057579693836,1.0501724672756911,1.3714203429065137,20,0.0,0.0,0.0,0.0,2.2857142857142856,Decor,45.0,139,1,1.0
CVB-002,2022-01-14,Ceramic Vase Bundle,5,225.0,1,45.0,4,14,2,1,1,2022,1,1,0,0,0,0,0,0,0.0,2.0,2.0,,,,1.7142857142857142,1.1126972805283732,1.5384615384615385,1.2659242088545835,1.5384615384615385,1.2659242088545835,1.5384615384615385,1.2659242088545835,1.5384615384615385,1.2659242088545835,11.57338195077484,12.154057579693836,1.0501724672756911,1.1142784714756495,25,0.0,0.0,0.0,11.57338195077484,0.0,Decor,45.0,139,1,1.0
CVB-002,2022-01-15,Ceramic Vase Bundle,4,180.0,1,45.0,5,15,2,1,1,2022,1,0,0,0,0,0,0,0,5.0,1.0,3.0,0.0,,,2.142857142857143,1.6761634196950517,1.7857142857142858,1.5281246137553166,1.7857142857142858,1.5281246137553166,1.7857142857142858,1.5281246137553166,1.7857142857142858,1.5281246137553166,11.57338195077484,12.154057579693836,1.0501724672756911,1.1999932800376316,29,0.0,0.0,0.0,11.57338195077484,10.714285714285714,Decor,45.0,139,1,1.0
CVB-002,2022-01-16,Ceramic Vase Bundle,2,90.0,1,45.0,6,16,2,1,1,2022,1,0,0,0,0,0,0,0,4.0,0.0,3.0,2.0,,,2.2857142857142856,1.799470821684875,2.0714285714285716,1.542439911024374,1.9333333333333333,1.579632265825846,1.9333333333333333,1.579632265825846,1.9333333333333333,1.579632265825846,11.57338195077484,12.154057579693836,1.0501724672756911,1.1822598947148302,31,0.0,0.0,0.0,11.57338195077484,9.142857142857142,Decor,45.0,139,1,1.0
CVB-002,2022-01-17,Ceramic Vase Bundle,3,135.0,1,45.0,0,17,3,1,1,2022,0,0,0,0,0,0,0,0,2.0,5.0,1.0,1.0,,,2.142857142857143,1.7728105208558367,2.0714285714285716,1.542439911024374,1.9375,1.526160760426852,1.9375,1.526160760426852,1.9375,1.526160760426852,11.57338195077484,12.154057579693836,1.0501724672756911,1.105985075100073,34,0.0,0.0,0.0,0.0,4.285714285714286,Decor,45.0,139,1,1.0
CVB-002,2022-01-18,Ceramic Vase Bundle,1,45.0,1,45.0,1,18,3,1,1,2022,0,0,0,0,0,0,0,0,3.0,4.0,2.0,1.0,,,2.4285714285714284,1.7182493859684493,2.2142857142857144,1.5281246137553166,2.0,1.5000000000000002,2.0,1.5000000000000002,2.0,1.5000000000000002,11.57338195077484,12.154057579693836,1.0501724672756911,1.2142796428874998,35,0.0,0.0,0.0,0.0,7.285714285714285,Decor,45.0,139,1,1.0
CVB-002,2022-01-19,Ceramic Vase Bundle,3,135.0,1,45.0,2,19,3,1,1,2022,0,0,0,0,0,0,0,0,1.0,2.0,1.0,0.0,,,2.2857142857142856,1.799470821684875,2.2142857142857144,1.5281246137553166,1.9444444444444444,1.4741786236338814,1.9444444444444444,1.4741786236338814,1.9444444444444444,1.4741786236338814,11.57338195077484,12.154057579693836,1.0501724672756911,1.175504158631674,38,0.0,0.0,0.0,0.0,2.2857142857142856,Decor,45.0,139,1,1.0
