sku,order_date,product_title,units_sold,revenue,num_orders,avg_price
CVB-002,2022-01-01,Ceramic Vase Bundle,0,0.0,0,0.0
CVB-002,2022-01-02,Ceramic Vase Bundle,2,90.0,1,45.0
CVB-002,2022-01-03,Ceramic Vase Bundle,1,45.0,1,45.0
CVB-002,2022-01-04,Ceramic Vase Bundle,1,45.0,1,45.0
CVB-002,2022-01-05,Ceramic Vase Bundle,0,0.0,0,0.0
CVB-002,2022-01-06,Ceramic Vase Bundle,4,180.0,1,45.0
CVB-002,2022-01-07,Ceramic Vase Bundle,2,90.0,1,45.0
CVB-002,2022-01-08,Ceramic Vase Bundle,3,135.0,1,45.0
CVB-002,2022-01-09,Ceramic Vase Bundle,3,135.0,1,45.0
CVB-002,2022-01-10,Ceramic Vase Bundle,1,45.0,1,45.0
CVB-002,2022-01-11,Ceramic Vase Bundle,2,90.0,1,45.0
CVB-002,2022-01-12,Ceramic Vase Bundle,1,45.0,1,45.0
CVB-002,2022-01-13,Ceramic Vase Bundle,0,0.0,0,0.0
CVB-002,2022-01-14,Ceramic Vase Bundle,5,225.0,1,45.0
CVB-002,2022-01-15,Ceramic Vase Bundle,4,180.0,1,45.0
CVB-002,2022-01-16,Ceramic Vase Bundle,2,90.0,1,45.0
CVB-002,2022-01-17,Ceramic Vase Bundle,3,135.0,1,45.0
CVB-002,2022-01-18,Ceramic Vase Bundle,1,45.0,1,45.0
CVB-002,2022-01-19,Ceramic Vase Bundle,3,135.0,1,45.0
CVB-002,2022-01-20,Ceramic Vase Bundle,4,180.0,1,45.0
CVB-002,2022-01-21,Ceramic Vase Bundle,3,135.0,1,45.0
CVB-002,2022-01-22,Ceramic Vase Bundle,8,360.0,1,45.0
CVB-002,2022-01-23,Ceramic Vase Bundle,1,45.0,1,45.0
CVB-002,2022-01-24,Ceramic Vase Bundle,0,0.0,0,0.0
CVB-002,2022-01-25,Ceramic Vase Bundle,1,45.0,1,45.0
CVB-002,2022-01-26,Ceramic Vase Bundle,4,180.0,1,45.0
