order_id,order_date,financial_status,product_id,variant_id,sku,product_title,quantity,unit_price,total_price
10000,2022-01-01,paid,50576,92444,LDS-001,Linen Duvet Set,5,89.99,449.95
10001,2022-01-01,paid,92921,43446,SCP-003,Scented Candle Pack,7,29.99,209.93
10002,2022-01-01,paid,47370,6915,WAB-004,Wall Art Boho,1,65.0,65.0
10003,2022-01-01,paid,90271,81544,TRS-005,Table Runner Set,2,22.5,45.0
10004,2022-01-01,paid,23216,80400,TPC-006,Throw Pillow Cover,3,18.99,56.97
10005,2022-01-02,paid,50576,92444,LDS-001,Linen Duvet Set,5,89.99,449.95
10006,2022-01-02,paid,36307,10508,CVB-002,Ceramic Vase Bundle,2,45.0,90.0
10007,2022-01-02,paid,92921,43446,SCP-003,Scented Candle Pack,7,29.99,209.93
10008,2022-01-02,paid,47370,6915,WAB-004,Wall Art Boho,1,65.0,65.0
10009,2022-01-02,paid,90271,81544,TRS-005,Table Runner Set,2,22.5,45.0
10010,2022-01-02,paid,23216,80400,TPC-006,Throw Pillow Cover,3,18.99,56.97
10011,2022-01-03,paid,50576,92444,LDS-001,Linen Duvet Set,6,89.99,539.94
10012,2022-01-03,paid,36307,10508,CVB-002,Ceramic Vase Bundle,1,45.0,45.0
10013,2022-01-03,paid,92921,43446,SCP-003,Scented Candle Pack,5,29.99,149.95
10014,2022-01-03,paid,47370,6915,WAB-004,Wall Art Boho,1,65.0,65.0
10015,2022-01-03,paid,90271,81544,TRS-005,Table Runner Set,1,22.5,22.5
10016,2022-01-03,paid,23216,80400,TPC-006,Throw Pillow Cover,3,18.99,56.97
10017,2022-01-04,paid,50576,92444,LDS-001,Linen Duvet Set,4,89.99,359.96
10018,2022-01-04,paid,36307,10508,CVB-002,Ceramic Vase Bundle,1,45.0,45.0
10019,2022-01-04,paid,92921,43446,SCP-003,Scented Candle Pack,4,29.99,119.96
10020,2022-01-04,paid,47370,6915,WAB-004,Wall Art Boho,2,65.0,130.0
10021,2022-01-04,paid,90271,81544,TRS-005,Table Runner Set,2,22.5,45.0
10022,2022-01-04,paid,23216,80400,TPC-006,Throw Pillow Cover,5,18.99,94.95
10023,2022-01-05,paid,50576,92444,LDS-001,Linen Duvet Set,1,89.99,89.99
10024,2022-01-05,paid,92921,43446,SCP-003,Scented Candle Pack,2,29.99,59.98
10025,2022-01-05,paid,47370,6915,WAB-004,Wall Art Boho,2,65.0,130.0
10026,2022-01-05,paid,90271,81544,TRS-005,Table Runner Set,2,22.5,45.0
10027,2022-01-05,paid,23216,80400,TPC-006,Throw Pillow Cover,1,18.99,18.99
10028,2022-01-06,paid,50576,92444,LDS-001,Linen Duvet Set,6,89.99,539.94
10029,2022-01-06,paid,36307,10508,CVB-002,Ceramic Vase Bundle,4,45.0,180.0
10030,2022-01-06,paid,92921,43446,SCP-003,Scented Candle Pack,4,29.99,119.96
10031,2022-01-06,paid,90271,81544,TRS-005,Table Runner Set,1,22.5,22.5
10032,2022-01-06,paid,23216,80400,TPC-006,Throw Pillow Cover,1,18.99,18.99
10033,2022-01-07,paid,50576,92444,LDS-001,Linen Duvet Set,9,89.99,809.91
